Id,Name,Description,Price,StockQuantity,Photo,Notes,CreatedDate,ModifiedDate
23,Smart Scale,Smart Scale with advanced features and modern design,133.88,439,product_23.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
24,Robot Vacuum,Robot Vacuum with advanced features and modern design,25.42,448,product_24.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
25,Wireless Router,Wireless Router with advanced features and modern design,292.15,336,product_25.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
26,Dash Cam,Dash Cam with advanced features and modern design,45.36,160,product_26.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
27,Smart Lock,Smart Lock with advanced features and modern design,250.43,20,product_27.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
28,3D Printer,3D Printer with advanced features and modern design,208.27,296,product_28.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
29,Graphic Tablet,Graphic Tablet with advanced features and modern design,113.55,239,product_29.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
30,Portable SSD,Portable SSD with advanced features and modern design,95.13,176,product_30.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
31,Smartwatch,Smartwatch with advanced features and modern design,192.62,492,product_31.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
32,Laptop Cooling Pad,Laptop Cooling Pad with advanced features and modern design,239.28,314,product_32.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
33,USB Hub,USB Hub with advanced features and modern design,125.35,207,product_33.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
34,Webcam,Webcam with advanced features and modern design,60.41,381,product_34.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
35,Mechanical Pencil,Mechanical Pencil with advanced features and modern design,262.77,457,product_35.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
36,Drawing Pad,Drawing Pad with advanced features and modern design,14.81,125,product_36.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
37,Monitor Stand,Monitor Stand with advanced features and modern design,28.63,283,product_37.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
38,Cable Organizer,Cable Organizer with advanced features and modern design,222.16,407,product_38.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
39,Phone Tripod,Phone Tripod with advanced features and modern design,257.92,98,product_39.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
40,LED Strip Lights,LED Strip Lights with advanced features and modern design,38.22,383,product_40.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
41,Smart Doorbell,Smart Doorbell with advanced features and modern design,200.35,332,product_41.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
42,Wireless Presenter,Wireless Presenter with advanced features and modern design,271.61,447,product_42.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
43,Ergonomic Chair,Ergonomic Chair with advanced features and modern design,71.91,148,product_43.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
44,Standing Desk,Standing Desk with advanced features and modern design,10.87,57,product_44.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
45,Smart Mirror,Smart Mirror with advanced features and modern design,292.28,496,product_45.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
46,Fingerprint Padlock,Fingerprint Padlock with advanced features and modern design,253.43,305,product_46.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
47,Smart Glasses,Smart Glasses with advanced features and modern design,294.78,270,product_47.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
48,Solar Power Bank,Solar Power Bank with advanced features and modern design,14.29,263,product_48.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
49,Digital Alarm Clock,Digital Alarm Clock with advanced features and modern design,298.19,128,product_49.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
50,Smart Mug,Smart Mug with advanced features and modern design,233.58,433,product_50.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54


